Activity,SubFP5,SubFP8,SubFP12,SubFP16,SubFP28,SubFP84,SubFP86,SubFP96,SubFP133,SubFP179,SubFP181,SubFP224,SubFP296,SubFP300,SubFP302,SubFPC1,SubFPC85,SubFPC151,SubFPC274,SubFPC275,SubFPC295,SubFPC300,SubFPC302,SubFPC303
Inactive,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,2,7,10,2,0
Inactive,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,2,4,0,0,0
Inactive,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,6,2,13,10,6,2
Inactive,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,3,1,0
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,6,0,6,4,6,0
Inactive,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,6,0,4,1,3,0
Inactive,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,2,9,10,2,0
Inactive,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,5,2,7,7,3,0
Inactive,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,4,4,3,0
Inactive,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,2,8,7,2,0
Inactive,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,0,3,5,3,0
Inactive,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,6,2,6,2,0,0
Inactive,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,4,1,0
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,6,0,7,5,4,0
Inactive,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,4,2,0
Inactive,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,5,2,6,1,1,0
Inactive,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,4,2,0
Inactive,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,6,1,7,4,2,0
Inactive,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,2,9,10,2,0
Inactive,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,6,2,13,10,6,2
Inactive,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,2,9,10,2,0
Inactive,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,6,2,13,10,6,2
Inactive,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,6,1,7,4,2,0
Inactive,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,5,2,7,7,3,0
Inactive,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,2,9,10,2,0
Inactive,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,2,8,7,2,0
Inactive,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,6,0,4,1,3,0
Inactive,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,5,2,7,7,3,0
Inactive,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,2,7,10,2,0
Inactive,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,4,2,0
Inactive,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,4,2,0
Inactive,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,6,0,4,1,3,0
Inactive,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,5,2,7,7,3,0
Inactive,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,4,2,0
Inactive,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,6,2,13,10,6,2
Inactive,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,6,2,13,10,6,2
Inactive,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,6,0,4,1,3,0
Inactive,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,6,2,13,10,6,2
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,6,0,7,5,4,0
Inactive,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,2,9,10,2,0
Inactive,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,5,2,7,7,3,0
Inactive,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,2,8,7,2,0
Inactive,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,5,2,7,7,3,0
Inactive,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,2,4,0,0,0
Inactive,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,4,4,3,0
Inactive,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,6,1,7,4,2,0
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,6,0,7,5,4,0
Inactive,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,4,2,0
Inactive,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,6,0,4,1,3,0
Inactive,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,4,2,0
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,6,0,7,5,4,0
Inactive,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,6,2,13,10,6,2
Inactive,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,4,4,3,0
Inactive,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,4,2,0
Inactive,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,2,4,0,0,0
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,6,0,7,5,4,0
Inactive,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,2,7,10,2,0
Inactive,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,2,8,7,2,0
Inactive,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,2,9,10,2,0
Inactive,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,6,1,7,4,2,0
Inactive,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,6,1,7,4,2,0
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,6,0,7,5,4,0
Inactive,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,5,2,7,7,3,0
Inactive,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,2,7,10,2,0
Inactive,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,2,7,10,2,0
Inactive,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,6,0,4,1,3,0
Inactive,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,2,7,10,2,0
Inactive,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,5,2,6,1,1,0
Inactive,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,2,7,10,2,0
Inactive,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,6,0,4,1,3,0
Active,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,2,4,0,0,0
Active,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,6,2,13,10,6,2
Active,0,0,0,0,0,0,0,0,0.754279315,0,0,0.245720685,0,1,1,0.737162054,0,0,0,0.491441369,3.228603423,5.474324107,2,0
Active,0.370679487,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.370679487,0,0,6,0.741358973,6.706794865,6.853397433,4.11203846,0.741358973
Active,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,6,0,4,1,3,0
Active,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,2,7,10,2,0
Active,0,0,0,0,0,0.36274304,0,0,0,0.36274304,1,0,0,0.36274304,0.36274304,0,0,0,9.460798719,2,5.08822912,2.539201281,1.08822912,0
Active,0,0,0,0,0,0.568284492,0,0,0.431715508,0.568284492,0.568284492,0,0,1,1,0,0,0,2.84142246,1.136568984,4.84142246,5.704853476,2.568284492,0
Active,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,3,1,0
