Activity,X4z3scl3.lag10,X4z3scl3.lag13,X3z3scl3.lag4,X2z3scl1.lag7
Inactive,0.57,0.45,-0.41,3.22
Inactive,0.09,4.13,0.3,1.96
Inactive,0.57,0.09,-1.14,0.92
Inactive,0.57,4.13,0.3,1.96
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,4.13,0.3,1.96
Inactive,0.57,0.09,-1.14,0.92
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,4.13,0.3,1.96
Inactive,0.57,0.09,-1.14,0.92
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,0.45,0.57,1.96
Inactive,0.09,4.13,0.3,1.96
Inactive,0.57,0.45,-1.4,1.96
Inactive,0.57,0.45,0.57,1.96
Inactive,0.57,0.45,-1.4,1.96
Inactive,0.57,4.13,0.3,1.96
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,0.3,0.3,2.23
Inactive,0.57,4.13,0.3,3.22
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,0.45,-1.4,1.96
Inactive,0.09,4.13,0.3,1.96
Inactive,0.09,4.13,0.3,1.96
Inactive,0.09,4.13,0.3,1.96
Inactive,0.09,4.13,0.3,1.96
Inactive,0.57,4.13,0.09,1.96
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,0.09,-1.14,0.92
Inactive,0.57,0.3,0.3,2.23
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,4.13,0.3,1.96
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,0.45,-1.4,1.96
Inactive,0.09,4.13,0.3,1.96
Inactive,0.57,0.3,0.3,2.23
Inactive,0.57,0.3,0.3,2.23
Inactive,0.57,4.13,0.3,1.96
Inactive,0.57,4.13,0.3,3.22
Inactive,0.57,0.3,0.3,2.23
Inactive,0.57,0.57,0.09,1.96
Inactive,0.57,4.13,0.3,1.96
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,4.13,0.3,1.96
Inactive,0.57,0.45,-1.4,1.96
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,0.57,0.09,1.96
Inactive,0.57,0.45,0.57,1.96
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,4.13,0.3,3.22
Inactive,0.57,0.3,0.3,2.23
Inactive,0.57,0.3,0.3,2.23
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,0.09,-1.14,0.92
Inactive,0.57,4.13,0.3,3.22
Inactive,0.57,0.45,0.57,1.96
Inactive,0.57,4.13,0.09,1.96
Inactive,0.57,4.13,0.3,1.96
Inactive,0.09,4.13,0.3,1.96
Inactive,0.57,0.57,0.09,1.96
Inactive,0.57,4.13,0.3,1.96
Inactive,0.57,0.45,-1.4,1.96
Inactive,0.57,4.13,0.09,1.96
Inactive,0.09,4.13,0.3,1.96
Inactive,0.57,4.13,0.3,3.22
Inactive,0.57,0.57,0.09,1.96
Inactive,0.57,0.45,0.57,1.96
Inactive,0.57,0.45,-1.4,1.96
Inactive,0.57,0.09,-1.14,0.92
Inactive,0.57,0.45,0.57,1.96
Inactive,0.57,4.13,0.09,1.96
Inactive,0.57,4.13,0.3,3.22
Inactive,0.57,4.13,0.3,3.22
Inactive,0.57,0.3,0.09,1.96
Inactive,0.57,0.45,-1.4,1.96
Inactive,0.57,0.45,-1.4,1.96
Inactive,0.57,0.09,-1.14,0.92
Inactive,0.57,4.13,0.3,3.22
Active,-0.98,-1.03,-1.4,2.23
Active,-1.4,-0.98,-1.29,2.23
Active,-1.4,-0.98,-1.29,2.23
Active,-0.98,-1.03,-1.4,2.23
Active,-0.98,-1.03,-1.4,2.23
Active,-1.122245343,-1.013066031,-1.362745267,2.23
Active,-1.247647923,-0.998137152,-1.329901734,2.23
Active,0.57,0.45,-0.41,3.22
Active,-0.188012297,-0.273779483,-0.89414979,2.73585021
Active,-1.364831052,-0.98418678,-1.299210915,2.23
Active,-0.98,-1.03,-1.4,2.23
Active,-0.98,-1.03,-1.4,2.23
Active,-0.98,-1.03,-1.4,2.23
Active,-0.98,-1.03,-1.4,2.23
Active,0.57,0.45,-0.41,3.22
Active,-1.14269953,-1.010631008,-1.357388218,2.23
Active,-0.628929168,-0.69478398,-1.175767662,2.454232338
Active,-0.98,-1.03,-1.4,2.23
Active,-1.4,-0.98,-1.29,2.23
Active,-0.98,-1.03,-1.4,2.23
Active,0.57,0.45,-0.41,3.22
Active,-0.98,-1.03,-1.4,2.23
Active,-1.4,-0.98,-1.29,2.23
Active,-1.300231259,-0.991877231,-1.316129908,2.23
Active,-0.98,-1.03,-1.4,2.23
Active,-1.4,-0.98,-1.29,2.23
Active,-0.99617632,-1.028074248,-1.395763345,2.23
Active,-1.4,-0.98,-1.29,2.23
Active,-1.275780763,-0.994788004,-1.32253361,2.23
Active,-0.98,-1.03,-1.4,2.23
Active,-0.98,-1.03,-1.4,2.23
Active,-1.2314284,-1.000068048,-1.334149705,2.23
Active,-1.083202688,-1.017713966,-1.372970725,2.23
Active,-1.4,-0.98,-1.29,2.23
Active,-0.98,-1.03,-1.4,2.23
Active,-1.4,-0.98,-1.29,2.23
Active,-1.4,-0.98,-1.29,2.23
Active,-0.98,-1.03,-1.4,2.23
Active,-0.98,-1.03,-1.4,2.23
Active,-1.4,-0.98,-1.29,2.23
Active,-0.769586161,-0.829088721,-1.265606644,2.364393356
Active,-0.98,-1.03,-1.4,2.23
Active,-1.4,-0.98,-1.29,2.23
Active,-0.98,-1.03,-1.4,2.23
